point50705 ( 41551 , 166649 ) 
point95898 ( 785081 , 266418 ) 
point73870 ( 798353 , 288432 ) 
point26043 ( 146165 , 468278 ) 
point96747 ( 765122 , 268329 ) 
point64 ( 836839 , 220602 ) 
point27487 ( 280989 , 125757 ) 
point76667 ( 770236 , 256941 ) 
point94573 ( 796608 , 265593 ) 
point98079 ( 758886 , 277202 ) 
point23015 ( 575128 , 77247 ) 
point97477 ( 771473 , 256484 ) 
point54155 ( 607743 , 637940 ) 
point8931 ( 639533 , 749643 ) 
point81337 ( 796320 , 266968 ) 
point96510 ( 762991 , 286025 ) 
point91843 ( 783235 , 266439 ) 
point72415 ( 780665 , 276398 ) 
point47697 ( 71331 , 677563 ) 
point21089 ( 712655 , 359036 ) 
point20842 ( 58300 , 512408 ) 
point91179 ( 792665 , 256907 ) 
point80331 ( 763129 , 284936 ) 
point76800 ( 782294 , 252868 ) 
point68349 ( 786170 , 262318 ) 
point97650 ( 776418 , 263051 ) 
point42564 ( 914101 , 324742 ) 
point49715 ( 50136 , 720427 ) 
point99884 ( 755565 , 299137 ) 
point47156 ( 173103 , 660297 ) 
point30355 ( 544914 , 741537 ) 
point23357 ( 26070 , 813343 ) 
point25428 ( 291808 , 707434 ) 
point78251 ( 765810 , 289462 ) 
point91755 ( 790805 , 288389 ) 
point57902 ( 655361 , 322770 ) 
point72604 ( 760460 , 293837 ) 
point67986 ( 779111 , 260722 ) 
point57535 ( 439922 , 786128 ) 
point22006 ( 251990 , 349570 ) 
point28047 ( 347213 , 428027 ) 
point19811 ( 150206 , 976890 ) 
point96250 ( 789871 , 265865 ) 
point54165 ( 531219 , 831853 ) 
point79368 ( 772663 , 286898 ) 
point98430 ( 761022 , 252085 ) 
point12497 ( 187812 , 982560 ) 
point58714 ( 146949 , 737923 ) 
point66531 ( 754502 , 288574 ) 
point74932 ( 751276 , 291020 ) 
point78154 ( 751379 , 283896 ) 
point58131 ( 868976 , 522698 ) 
point58010 ( 419112 , 515022 ) 
point65173 ( 757830 , 299227 ) 
point32084 ( 61492 , 276467 ) 
point82552 ( 758068 , 284573 ) 
point65383 ( 774732 , 293671 ) 
point49036 ( 922747 , 384646 ) 
point12147 ( 881673 , 212922 ) 
point14144 ( 349990 , 284906 ) 
point52563 ( 983360 , 907936 ) 
point14623 ( 748916 , 784522 ) 
point11231 ( 194033 , 671305 ) 
point54989 ( 573649 , 112300 ) 
point88560 ( 795817 , 252650 ) 
point20934 ( 698426 , 742905 ) 
point53041 ( 724104 , 282894 ) 
point41074 ( 71834 , 497200 ) 
point69911 ( 768645 , 280785 ) 
point12345 ( 805935 , 479223 ) 
point47058 ( 828593 , 875304 ) 
point31549 ( 93021 , 629847 ) 
point98899 ( 780518 , 280059 ) 
point74338 ( 769338 , 262653 ) 
point92065 ( 781826 , 260688 ) 
point62081 ( 783112 , 269430 ) 
point51842 ( 281341 , 630642 ) 
point59186 ( 582994 , 979340 ) 
point97988 ( 752506 , 293661 ) 
point81746 ( 776326 , 274361 ) 
point30373 ( 108046 , 886903 ) 
point70043 ( 787126 , 273451 ) 
point49771 ( 97653 , 241561 ) 
point89143 ( 786991 , 295276 ) 
point86085 ( 764172 , 263669 ) 
point51356 ( 790488 , 775320 ) 
point90312 ( 761016 , 254897 ) 
point55450 ( 243084 , 49840 ) 
point86521 ( 771076 , 274552 ) 
point67005 ( 760718 , 287259 ) 
point72606 ( 796485 , 269190 ) 
point46131 ( 106267 , 582850 ) 
point68003 ( 758269 , 255167 ) 
point72730 ( 771540 , 258364 ) 
point78492 ( 778459 , 268905 ) 
point53710 ( 146738 , 992035 ) 
point4259 ( 415943 , 936922 ) 
point79554 ( 773988 , 264324 ) 
point52109 ( 332597 , 910830 ) 
point89106 ( 754177 , 259534 ) 
point33621 ( 569174 , 442138 ) 
point67942 ( 797010 , 283851 ) 
point98718 ( 769461 , 287978 ) 
point22560 ( 127374 , 903379 ) 
point40674 ( 521488 , 327724 ) 
point18322 ( 503003 , 256909 ) 
point96981 ( 784258 , 272369 ) 
point5416 ( 507837 , 152195 ) 
point48648 ( 892280 , 778306 ) 
point26445 ( 909481 , 501057 ) 
point6836 ( 19248 , 575793 ) 
point17101 ( 969157 , 300159 ) 
point59803 ( 304549 , 350669 ) 
point20115 ( 518557 , 77228 ) 
point63499 ( 778552 , 283904 ) 
point98304 ( 776639 , 263206 ) 
point57064 ( 449226 , 768003 ) 
point88113 ( 759949 , 253211 ) 
point71465 ( 770344 , 283426 ) 
point83054 ( 782900 , 269210 ) 
point68337 ( 771564 , 250954 ) 
point17639 ( 53710 , 675155 ) 
point54284 ( 61804 , 828276 ) 
point96247 ( 793265 , 275687 ) 
point86183 ( 781849 , 280022 ) 
point33938 ( 920615 , 544033 ) 
point39429 ( 368387 , 310122 ) 
point52622 ( 12647 , 962486 ) 
point5527 ( 869576 , 251443 ) 
point76508 ( 774650 , 299941 ) 
point54886 ( 711984 , 491263 ) 
point50530 ( 149552 , 288694 ) 
point61537 ( 761967 , 280685 ) 
point91479 ( 792008 , 274579 ) 
point62662 ( 754535 , 266773 ) 
point60429 ( 774623 , 296307 ) 
point80905 ( 788220 , 288365 ) 
point15109 ( 204871 , 604293 ) 
point57099 ( 633674 , 717214 ) 
point60690 ( 794637 , 293926 ) 
point71006 ( 780025 , 264121 ) 
point16841 ( 837381 , 214469 ) 
point48137 ( 580990 , 998769 ) 
point28330 ( 396195 , 508949 ) 
point98522 ( 786264 , 286008 ) 
point36122 ( 77267 , 556794 ) 
point28294 ( 916095 , 307546 ) 
point3010 ( 32422 , 693912 ) 
point23131 ( 185262 , 631657 ) 
point29644 ( 138133 , 781368 ) 
point64666 ( 772123 , 254065 ) 
point50177 ( 920787 , 292267 ) 
point26062 ( 549326 , 170123 ) 
point60471 ( 787451 , 261223 ) 
point42141 ( 733625 , 71728 ) 
point8716 ( 108653 , 225500 ) 
point72090 ( 764081 , 252391 ) 
point5455 ( 845382 , 393234 ) 
point22301 ( 959130 , 403723 ) 
